date,world,Belgium,Brazil,Finland,France,Swaziland,Sweden,Switzerland,Taiwan,uae,uk,us
2019/12/31,0,0,0,0,0,,0,0,0,0,0,0
2020/01/01,0,0,0,0,0,,0,0,0,0,0,0
2020/01/02,0,0,0,0,0,,0,0,0,0,0,0
2020/01/03,0,0,0,0,0,,0,0,0,0,0,0
2020/01/04,0,0,0,0,0,,0,0,0,0,0,0
2020/01/05,0,0,0,0,0,,0,0,0,0,0,0
2020/01/06,0,0,0,0,0,,0,0,0,0,0,0
2020/01/07,0,0,0,0,0,,0,0,0,0,0,0
2020/01/08,0,0,0,0,0,,0,0,0,0,0,0
2020/01/09,0,0,0,0,0,,0,0,0,0,0,0
2020/01/10,0,0,0,0,0,,0,0,0,0,0,0
2020/01/11,1,0,0,0,0,,0,0,0,0,0,0
2020/01/12,0,0,0,0,0,,0,0,0,0,0,0
2020/01/13,0,0,0,0,0,,0,0,0,0,0,0
2020/01/14,0,0,0,0,0,,0,0,0,0,0,0
2020/01/15,1,0,0,0,0,,0,0,0,0,0,0
2020/01/16,0,0,0,0,0,,0,0,0,0,0,0
2020/01/17,0,0,0,0,0,,0,0,0,0,0,0
2020/01/18,0,0,0,0,0,,0,0,0,0,0,0
2020/01/19,1,0,0,0,0,,0,0,0,0,0,0
2020/01/20,0,0,0,0,0,,0,0,0,0,0,0
2020/01/21,3,0,0,0,0,,0,0,0,0,0,0
2020/01/22,11,0,0,0,0,,0,0,0,0,0,0
2020/01/23,0,0,0,0,0,,0,0,0,0,0,0
2020/01/24,9,0,0,0,0,,0,0,0,0,0,0
2020/01/25,15,0,0,0,0,,0,0,0,0,0,0
2020/01/26,15,0,0,0,0,,0,0,0,0,0,0
2020/01/27,25,0,0,0,0,,0,0,0,0,0,0
2020/01/28,25,0,0,0,0,,0,0,0,0,0,0
2020/01/29,26,0,0,0,0,,0,0,0,0,0,0
2020/01/30,38,0,0,0,0,,0,0,0,0,0,0
2020/01/31,43,0,0,0,0,,0,0,0,0,0,0
2020/02/01,46,0,0,0,0,,0,0,0,0,0,0
2020/02/02,46,0,0,0,0,,0,0,0,0,0,0
2020/02/03,57,0,0,0,0,,0,0,0,0,0,0
2020/02/04,65,0,0,0,0,,0,0,0,0,0,0
2020/02/05,66,0,0,0,0,,0,0,0,0,0,0
2020/02/06,72,0,0,0,0,,0,0,0,0,0,0
2020/02/07,73,0,0,0,0,,0,0,0,0,0,0
2020/02/08,86,0,0,0,0,,0,0,0,0,0,0
2020/02/09,89,0,0,0,0,,0,0,0,0,0,0
2020/02/10,97,0,0,0,0,,0,0,0,0,0,0
2020/02/11,108,0,0,0,0,,0,0,0,0,0,0
2020/02/12,97,0,0,0,0,,0,0,0,0,0,0
2020/02/13,255,0,0,0,0,,0,0,0,0,0,0
2020/02/14,13,0,0,0,0,,0,0,0,0,0,0
2020/02/15,144,0,0,0,1,,0,0,0,0,0,0
2020/02/16,142,0,0,0,0,,0,0,0,0,0,0
2020/02/17,106,0,0,0,0,,0,0,1,0,0,0
2020/02/18,98,0,0,0,0,,0,0,0,0,0,0
2020/02/19,139,0,0,0,0,,0,0,0,0,0,0
2020/02/20,116,0,0,0,0,,0,0,0,0,0,0
2020/02/21,119,0,0,0,0,,0,0,0,0,0,0
2020/02/22,112,0,0,0,0,,0,0,0,0,0,0
2020/02/23,104,0,0,0,0,,0,0,0,0,0,0
2020/02/24,156,0,0,0,0,,0,0,0,0,0,0
2020/02/25,79,0,0,0,0,,0,0,0,0,0,0
2020/02/26,64,0,0,0,0,,0,0,0,0,0,0
2020/02/27,38,0,0,0,1,,0,0,0,0,0,0
2020/02/28,57,0,0,0,0,,0,0,0,0,0,0
2020/02/29,64,0,0,0,0,,0,0,0,0,0,0
2020/03/01,58,0,0,0,0,,0,0,0,0,0,1
2020/03/02,67,0,0,0,0,,0,0,0,0,0,1
2020/03/03,72,0,0,,1,,0,0,0,,0,4
2020/03/04,84,0,0,0,1,,0,0,0,0,0,3
2020/03/05,80,0,0,,0,,0,0,0,,0,2
2020/03/06,102,0,0,0,3,,0,1,0,0,0,1
2020/03/07,104,0,0,0,2,,0,0,0,,1,2
2020/03/08,97,0,0,,1,,0,0,0,0,1,3
2020/03/09,228,0,0,0,9,,0,1,0,,0,4
2020/03/10,208,0,0,0,11,,0,0,0,0,1,5
2020/03/11,273,1,0,,3,,0,1,0,0,4,2
2020/03/12,335,3,0,0,15,,10,1,0,,0,2
2020/03/13,350,1,0,0,13,,0,0,0,0,2,10
2020/03/14,443,3,0,0,18,,1,3,0,,1,7
2020/03/15,367,5,0,0,12,0,1,4,0,0,19,10
2020/03/16,751,6,0,0,36,0,2,2,0,0,14,12
2020/03/17,606,11,0,0,21,0,2,1,0,0,22,16
2020/03/18,811,10,1,0,27,0,1,5,0,0,17,23
2020/03/19,963,22,3,0,69,0,6,6,0,0,34,42
2020/03/20,1075,33,2,0,128,0,7,8,0,0,46,0
2020/03/21,1387,35,5,0,78,0,9,10,1,0,32,110
2020/03/22,1716,40,7,1,112,0,8,13,0,2,58,80
2020/03/23,1691,47,7,0,112,0,11,4,0,0,36,131
2020/03/24,1854,78,9,0,186,0,11,6,0,0,76,119
2020/03/25,2315,76,12,0,240,0,21,20,0,0,148,211
2020/03/26,2645,107,11,2,231,0,22,17,0,0,191,249
2020/03/27,2814,102,20,1,365,0,31,58,0,0,181,246
2020/03/28,3492,128,15,3,299,0,32,36,0,0,288,411
2020/03/29,3590,141,22,2,319,0,35,38,0,0,292,484
2020/03/30,3231,149,22,2,292,0,38,22,3,1,212,318
2020/03/31,3993,170,23,2,418,0,45,38,0,2,374,661
2020/04/01,4677,208,42,4,499,0,48,78,0,1,403,909
2020/04/02,5015,232,40,0,509,0,53,5,0,2,672,1059
2020/04/03,5026,219,58,2,471,0,70,54,0,0,657,915
2020/04/04,6786,236,60,1,2004,0,80,52,0,1,736,1104
2020/04/05,6298,270,73,5,1053,0,70,56,0,1,756,1344
2020/04/06,4771,246,54,2,518,0,85,19,0,0,599,1146
2020/04/07,5345,257,67,0,833,0,90,25,0,1,567,1342
2020/04/08,7576,277,114,7,1417,0,84,57,0,1,1105,1906
2020/04/09,6570,321,133,6,541,0,115,64,0,0,1030,1922
2020/04/10,7424,271,141,2,1341,0,86,51,0,2,1116,1873
2020/04/11,7016,302,115,6,987,0,90,49,0,2,1122,2087
2020/04/12,6064,285,68,1,635,0,102,26,1,4,843,1831
2020/04/13,5335,265,99,7,561,0,97,27,0,2,657,1500
2020/04/14,5390,277,105,3,574,0,84,0,0,3,724,1541
2020/04/15,7619,261,204,5,762,0,92,42,0,3,1076,2408
2020/04/16,10491,280,204,8,1438,0,115,73,0,5,880,4928
2020/04/17,8527,246,188,3,753,0,111,43,0,2,1036,2299
2020/04/18,8463,205,217,7,761,1,83,42,0,2,913,3770
2020/04/19,6373,208,206,8,642,0,86,52,0,0,1105,1856
2020/04/20,4988,190,115,4,395,0,87,24,0,4,432,1772
2020/04/21,5450,206,113,4,547,0,85,7,0,2,570,1857
2020/04/22,7243,203,166,43,531,0,62,45,0,3,1224,2524
2020/04/23,5935,181,165,8,544,0,77,30,0,6,847,1721
2020/04/24,7335,156,407,23,516,0,86,51,0,4,682,3179
2020/04/25,5359,155,357,5,389,0,89,41,0,8,1010,1054
2020/04/26,6160,142,346,9,369,0,73,20,0,7,815,2172
2020/04/27,3913,154,189,4,242,0,74,8,0,5,364,1687
2020/04/28,4899,135,338,3,437,0,74,16,0,6,320,1369
2020/04/29,6566,110,474,6,367,0,83,27,0,7,969,2110
2020/04/30,6562,107,449,7,427,0,83,28,0,9,769,2611
2020/05/01,5650,87,435,5,289,0,78,15,0,7,634,2040
2020/05/02,5577,93,428,7,218,0,78,12,0,6,698,2062
2020/05/03,4808,75,421,2,166,0,73,32,0,8,584,1317
2020/05/04,3706,94,275,10,135,0,75,6,0,7,253,1297
2020/05/05,3986,95,296,10,306,0,84,4,0,11,272,1252
2020/05/06,5957,81,600,6,330,0,72,6,0,9,726,2144
2020/05/07,6124,76,615,6,278,1,73,22,0,11,647,2353
2020/05/08,5642,71,610,3,178,0,80,13,0,8,458,2239
2020/05/09,5112,74,751,5,243,0,60,8,0,9,579,1510
2020/05/10,4406,71,730,5,80,0,68,6,0,11,275,1614
2020/05/11,3426,72,496,2,70,0,73,6,0,13,217,734
2020/05/12,3590,65,396,4,263,0,65,5,1,3,187,1156
2020/05/13,5757,45,881,4,348,0,61,18,0,2,614,1703
2020/05/14,5018,56,749,9,83,0,50,3,0,3,447,1746
2020/05/15,5256,43,844,3,351,0,46,25,0,2,352,1773
2020/05/16,5059,45,824,6,130,0,58,6,0,2,350,1662
2020/05/17,4224,30,816,4,88,0,48,7,0,4,411,1186
2020/05/18,2898,31,485,1,68,0,53,1,0,6,67,808
2020/05/19,3298,37,674,2,186,0,59,0,0,4,146,791
2020/05/20,5184,33,1179,1,125,0,41,11,0,3,500,1568
2020/05/21,4718,30,888,3,110,0,52,16,0,6,328,1518
2020/05/22,5390,34,1188,2,83,0,54,8,0,4,273,1263
2020/05/23,4646,41,1001,0,74,0,56,0,0,4,291,1305
2020/05/24,3916,25,965,0,43,0,55,4,0,3,220,1080
2020/05/25,1106,33,653,1,35,0,44,0,0,1,379,633
2020/05/26,3368,26,807,1,65,0,42,0,0,3,104,500
2020/05/27,3871,24,1039,4,98,0,28,6,0,5,131,696
2020/05/28,5142,24,1086,1,66,0,38,0,0,2,422,1526
2020/05/29,4642,26,1156,0,66,0,40,7,0,3,343,1175
2020/05/30,4654,16,1124,1,52,0,41,2,0,2,274,1219
2020/05/31,4012,23,956,2,57,0,39,0,0,2,154,945
2020/06/01,2914,22,480,4,31,0,46,0,0,2,60,602
2020/06/02,3145,21,623,0,31,1,39,0,0,2,86,764
2020/06/03,4544,23,1262,0,107,0,36,0,0,3,249,1034
2020/06/04,5516,20,1349,1,81,0,28,3,0,1,254,994
2020/06/05,5130,14,1473,1,44,0,43,0,0,3,130,1036
2020/06/06,4639,12,1005,0,46,0,37,0,0,1,258,932
2020/06/07,3787,11,904,0,31,0,29,1,0,1,143,659
2020/06/08,3511,12,525,1,13,0,33,0,0,1,54,712
2020/06/09,3214,9,679,0,54,0,38,0,0,5,47,493
2020/06/10,4853,12,1272,1,87,0,33,2,0,2,195,999
2020/06/11,5131,12,1274,0,23,0,40,12,0,1,164,918
2020/06/12,4695,7,1239,1,27,0,35,0,0,2,76,896
2020/06/13,4647,10,909,0,28,0,29,2,0,1,131,849
2020/06/14,4139,5,892,0,24,0,33,0,0,1,107,767
2020/06/15,3157,3,612,1,9,1,27,0,0,1,27,296
2020/06/16,3377,8,627,0,29,0,30,0,0,2,29,395
2020/06/17,6719,7,1282,0,111,0,28,1,0,2,120,836
2020/06/18,5099,7,1269,0,28,0,32,0,0,2,110,754
2020/06/19,6275,5,1238,0,28,0,29,0,0,3,67,717
2020/06/20,5032,4,1206,0,14,0,30,0,0,2,84,678
2020/06/21,4116,3,1022,0,16,1,29,0,0,1,71,607
2020/06/22,3967,9,641,0,7,0,22,2,0,1,31,256
2020/06/23,3395,12,654,1,23,1,20,0,0,1,14,427
2020/06/24,5350,4,1374,0,57,1,25,0,0,2,94,826
2020/06/25,5215,3,1185,0,11,0,22,2,0,2,87,751
2020/06/26,6577,5,1141,0,21,1,23,0,0,1,99,2437
2020/06/27,4560,2,990,1,26,0,11,0,0,2,77,623
2020/06/28,4591,8,1109,0,0,0,14,0,0,1,40,500
2020/06/29,3070,5,552,0,0,3,23,0,0,2,31,265
2020/06/30,3704,3,692,0,35,0,16,0,0,1,21,336
2020/07/01,5623,8,1280,0,30,0,20,2,0,1,53,1270
2020/07/02,4839,2,1038,0,18,0,15,1,0,1,97,652
2020/07/03,5077,5,1252,0,14,0,15,1,0,1,41,678
2020/07/04,5012,2,1290,0,18,2,8,0,0,1,49,694
2020/07/05,4339,3,1091,0,0,0,15,0,0,3,32,242
2020/07/06,3378,2,602,0,0,0,9,0,0,2,19,271
2020/07/07,3841,1,620,0,27,0,15,0,0,1,11,359
2020/07/08,5996,3,1254,0,13,1,12,0,0,2,54,1174
2020/07/09,5277,1,1223,0,32,0,11,0,0,1,57,829
2020/07/10,5383,2,1220,0,14,3,15,0,0,1,31,982
2020/07/11,5277,0,1214,0,25,1,14,0,0,2,34,806
2020/07/12,4793,2,1071,0,0,0,10,0,0,1,17,717
2020/07/13,3890,4,631,0,0,2,9,0,0,2,9,391
2020/07/14,3839,0,733,0,25,0,12,0,0,1,10,400
2020/07/15,5578,3,1300,0,0,0,8,2,0,1,44,861
2020/07/16,5501,5,1233,0,91,0,6,0,0,0,26,953
2020/07/17,5744,5,1322,0,18,1,6,0,0,0,24,939
2020/07/18,7233,2,1163,0,14,0,7,0,0,2,26,908
2020/07/19,4978,3,921,0,0,0,11,0,0,1,9,853
2020/07/20,3935,1,716,0,0,0,7,0,0,1,11,415
2020/07/21,4092,2,632,0,13,2,6,0,0,1,10,372
2020/07/22,6123,1,1367,0,0,1,7,3,0,1,25,1160
2020/07/23,6877,2,1284,0,7,1,6,2,0,1,17,1124
2020/07/24,9779,2,1311,0,10,3,5,1,0,0,9,1052
2020/07/25,6256,5,1156,1,10,0,3,6,0,1,32,1304
2020/07/26,5733,1,1211,0,0,0,1,0,0,0,15,914
2020/07/27,3963,2,555,0,0,4,2,1,0,1,8,475
2020/07/28,4656,4,614,0,17,2,6,0,0,1,3,1076
2020/07/29,6160,1,921,0,14,5,4,2,0,2,21,1245
2020/07/30,6641,3,1595,0,15,1,1,0,0,0,34,1457
2020/07/31,6383,2,1129,0,16,0,0,1,0,4,0,1357
2020/08/01,6122,3,1212,0,11,1,2,0,0,0,20,1244
2020/08/02,5758,2,1088,0,0,2,2,2,0,0,13,1133
2020/08/03,4233,5,541,0,0,0,3,0,0,0,5,413
2020/08/04,4226,3,561,0,29,2,4,0,0,0,1,543
2020/08/05,6730,5,1154,2,2,4,2,0,0,0,18,1403
2020/08/06,7098,5,1437,0,9,4,1,0,0,2,14,1450
2020/08/07,6895,4,1237,0,7,2,4,3,0,1,18,1848
2020/08/08,6467,6,1079,0,12,1,2,3,0,2,12,1252
2020/08/09,5634,2,905,0,0,0,1,0,0,0,3,1069
2020/08/10,4824,5,572,0,0,2,4,0,0,1,5,513
2020/08/11,4817,11,703,2,16,3,2,0,0,0,18,523
2020/08/12,6137,13,1274,0,14,2,4,1,0,0,13,1076
2020/08/13,6900,11,1175,0,17,0,3,1,0,0,20,1490
2020/08/14,9909,12,1262,0,17,2,5,1,0,1,18,1083
2020/08/15,6240,12,1060,0,18,3,1,0,0,1,11,1336
2020/08/16,5657,9,709,0,3,1,1,0,0,2,3,1035
2020/08/17,4233,7,620,0,1,1,0,1,0,3,5,571
2020/08/18,4297,7,684,1,19,3,3,0,0,0,3,445
2020/08/19,6696,11,1352,0,22,3,4,1,0,2,12,1324
2020/08/20,6512,9,1212,0,17,3,1,2,0,1,16,1356
2020/08/21,6353,4,1204,0,12,2,2,0,0,2,6,1078
2020/08/22,5869,3,1054,0,23,0,5,0,0,1,2,1151
2020/08/23,5643,5,892,0,9,2,1,1,0,2,18,956
2020/08/24,3340,3,494,0,1,2,3,0,0,3,6,444
2020/08/25,4247,5,565,1,15,0,1,1,0,1,4,473
2020/08/26,6477,5,1271,0,16,1,1,2,0,1,16,1207
2020/08/27,6294,4,1085,0,0,2,2,0,0,1,16,1228
2020/08/28,6082,3,984,0,32,1,1,1,0,0,12,1110
2020/08/29,5457,4,855,0,20,2,1,1,0,1,9,949
2020/08/30,5697,6,958,0,6,0,1,0,0,0,12,1006
2020/08/31,3773,1,366,0,4,0,3,0,0,3,1,290
2020/09/01,4053,3,553,0,29,0,2,1,0,2,2,529
2020/09/02,6512,3,1215,0,26,3,3,1,0,0,3,1091
2020/09/03,6078,2,1184,0,25,0,2,0,0,3,10,1055
2020/09/04,5792,4,834,0,0,0,2,4,0,0,13,1053
2020/09/05,5624,2,907,0,0,0,0,1,0,0,10,968
2020/09/06,5325,1,682,1,12,0,0,0,0,1,12,773
2020/09/07,9033,2,447,0,3,0,3,1,0,0,2,403
2020/09/08,3820,4,310,0,25,0,1,2,0,2,3,267
